TaskType,Precision,TreatmentType,ConversationId,ResponseId,Response
1,0.6,1,1,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Right...I'll be home as soon as work is finished. Hang in there!"
1,0.6,0,2,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Sorry. If you're there, would you mind taking it out?"
1,0.6,1,3,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","What'd he do today?"
1,0.6,0,4,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Wasn't me, man."
1,0.6,1,5,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","I don't know what to tell you..."
1,0.6,1,6,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Sorry. I was just trying to make a joke about you being a fashion leader or something...guess that didn't work too well."
1,0.6,1,7,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Oh. Hell. I'm really sorry to hear that."
1,0.6,0,8,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","I'm catching an uber. Be there soon."
1,0.6,0,9,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Sorry, I didn't see your message immediately. What did you need?"
1,0.6,1,10,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Well...than the umbrella probably wouldn't have helped, right?"
1,0.6,1,11,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","They'll be fine. Again, really sorry!"
1,0.6,1,12,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","I've kind of got a lot on my mind recently."
1,0.6,1,13,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","What do you want to do?"
1,0.6,0,14,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Ok. See you then."
1,0.6,1,15,"3TVSS0C0E2WZH9B7RI4C7NXJJHDTWG","Is there anything I can do to help?"
1,0.7,1,1,"3X31TUMD7YIIXVNZLLD0S6X8TRAL1Y","Ok, we'll let me know if you want me home."
1,0.7,0,2,"3X31TUMD7YIIXVNZLLD0S6X8TRAL1Y","It won't happen again."
1,0.7,1,3,"3X31TUMD7YIIXVNZLLD0S6X8TRAL1Y","Just ignore them."
1,0.7,1,4,"3X31TUMD7YIIXVNZLLD0S6X8TRAL1Y","Wasn't me!"
1,0.7,1,5,"3X31TUMD7YIIXVNZLLD0S6X8TRAL1Y","We should meet and talk."
1,0.7,1,6,"3X31TUMD7YIIXVNZLLD0S6X8TRAL1Y","I am just joking, no harm meant."
1,0.7,1,7,"3X31TUMD7YIIXVNZLLD0S6X8TRAL1Y","I am so sorry, I am sure I will be next."
1,0.7,0,8,"3X31TUMD7YIIXVNZLLD0S6X8TRAL1Y","UBER OR BUS?"
1,0.7,0,9,"3X31TUMD7YIIXVNZLLD0S6X8TRAL1Y","Yes, what do you need?"
1,0.7,1,10,"3X31TUMD7YIIXVNZLLD0S6X8TRAL1Y","Haha, it happens."
1,0.7,1,11,"3X31TUMD7YIIXVNZLLD0S6X8TRAL1Y","If they are cold you can heat them up."
1,0.7,1,12,"3X31TUMD7YIIXVNZLLD0S6X8TRAL1Y","Yes I am fine, never mind I will go."
1,0.7,0,13,"3X31TUMD7YIIXVNZLLD0S6X8TRAL1Y","So who will be left out?"
1,0.7,0,14,"3X31TUMD7YIIXVNZLLD0S6X8TRAL1Y","Great, I will call then."
1,0.7,1,15,"3X31TUMD7YIIXVNZLLD0S6X8TRAL1Y","Good look, I know that is a pain."
1,0.8,1,1,"3TE3O8573140PE0899AAJ1GCRPE2RN","Roger that.  I'll be prepared."
1,0.8,1,2,"3TE3O8573140PE0899AAJ1GCRPE2RN","Sorry Mom.  I'll remember next time."
1,0.8,1,3,"3TE3O8573140PE0899AAJ1GCRPE2RN","He's a jerk, you should start looking for a new job."
1,0.8,1,4,"3TE3O8573140PE0899AAJ1GCRPE2RN","That sucks bro."
1,0.8,1,5,"3TE3O8573140PE0899AAJ1GCRPE2RN","You should break up with him before he breaks up with you."
1,0.8,1,6,"3TE3O8573140PE0899AAJ1GCRPE2RN","You are forgiven.  Next time we can go together."
1,0.8,1,7,"3TE3O8573140PE0899AAJ1GCRPE2RN","I'm so sorry to hear that Paula."
1,0.8,0,8,"3TE3O8573140PE0899AAJ1GCRPE2RN","You are not help at all.  Guess I'll uber."
1,0.8,0,9,"3TE3O8573140PE0899AAJ1GCRPE2RN","What's up?  I'm here to help."
1,0.8,1,10,"3TE3O8573140PE0899AAJ1GCRPE2RN","That really sucks, sorry that happened to you."
1,0.8,1,11,"3TE3O8573140PE0899AAJ1GCRPE2RN","They won't bro.  I'm almost there."
1,0.8,0,12,"3TE3O8573140PE0899AAJ1GCRPE2RN","I'm okay.  Just don't really feel like being around people."
1,0.8,0,13,"3TE3O8573140PE0899AAJ1GCRPE2RN","Yes it is.  Any advice on what I should do?"
1,0.8,0,14,"3TE3O8573140PE0899AAJ1GCRPE2RN","Okay.  Talk to you at 2."
1,0.8,1,15,"3TE3O8573140PE0899AAJ1GCRPE2RN","That's good.  I hope you find it."
1,0.9,1,1,"3SKEMFQBZ41POPP2Z6AESG71IXG8K7","Why, what's going on?!"
1,0.9,1,2,"3SKEMFQBZ41POPP2Z6AESG71IXG8K7","I'm sorry Mom, I'll take care of it."
1,0.9,1,3,"3SKEMFQBZ41POPP2Z6AESG71IXG8K7","What did he do this time?"
1,0.9,1,4,"3SKEMFQBZ41POPP2Z6AESG71IXG8K7","Well I certainly didn't tell her. That's insane though."
1,0.9,1,5,"3SKEMFQBZ41POPP2Z6AESG71IXG8K7","Do you want to try to save the relationship?"
1,0.9,1,6,"3SKEMFQBZ41POPP2Z6AESG71IXG8K7","I'm sorry Jess, I didn't mean it like that"
1,0.9,1,7,"3SKEMFQBZ41POPP2Z6AESG71IXG8K7","Oh no Paula, I'm so sorry. I'm here for you if you'd like to talk."
1,0.9,1,8,"3SKEMFQBZ41POPP2Z6AESG71IXG8K7","What's wrong Sarah?"
1,0.9,0,9,"3SKEMFQBZ41POPP2Z6AESG71IXG8K7","Sure Jeremy, what's up?"
1,0.9,1,10,"3SKEMFQBZ41POPP2Z6AESG71IXG8K7","Wow, that's awful. People can be so inconsiderate."
1,0.9,0,11,"3SKEMFQBZ41POPP2Z6AESG71IXG8K7","Lol you have a microwave."
1,0.9,0,12,"3SKEMFQBZ41POPP2Z6AESG71IXG8K7","Yeah, I'm fine really. I do appreciate your concern."
1,0.9,0,13,"3SKEMFQBZ41POPP2Z6AESG71IXG8K7","Yeah, any ideas on a solution?"
1,0.9,0,14,"3SKEMFQBZ41POPP2Z6AESG71IXG8K7","Ok, I'll call you at 2 then."
1,0.9,1,15,"3SKEMFQBZ41POPP2Z6AESG71IXG8K7","That's a good idea. I know it's a hassle, but it will be alright."
1,0.6,1,1,"3EA3QWIZ4JRHGER2210X6WOB469ITS","I'm what? What do you mean it's a warzone?"
1,0.6,0,2,"3EA3QWIZ4JRHGER2210X6WOB469ITS","I'm sorry Mom. I'll be there to clean up the mess and take out the trash."
1,0.6,1,3,"3EA3QWIZ4JRHGER2210X6WOB469ITS","Welp, I think it's time for you to start looking for a new job. Either that or find a way to deal with your current boss!"
1,0.6,0,4,"3EA3QWIZ4JRHGER2210X6WOB469ITS","Well, it wasn't me. You know I'm not like that. Come on!"
1,0.6,1,5,"3EA3QWIZ4JRHGER2210X6WOB469ITS","Just break up with him first, beat him to it."
1,0.6,1,6,"3EA3QWIZ4JRHGER2210X6WOB469ITS","You are forgiven my child. Now apologize for calling me a stalker!"
1,0.6,1,7,"3EA3QWIZ4JRHGER2210X6WOB469ITS","Nah, not lucky. I have seniority is why I didn't get laid off."
1,0.6,0,8,"3EA3QWIZ4JRHGER2210X6WOB469ITS","What do you mean ""K""? What kind of an answer it that?"
1,0.6,0,9,"3EA3QWIZ4JRHGER2210X6WOB469ITS","Hey sorry, I was in the bathroom. What do you need help with?"
1,0.6,1,10,"3EA3QWIZ4JRHGER2210X6WOB469ITS","Well, an umbrella wouldn't have helped there! lol"
1,0.6,1,11,"3EA3QWIZ4JRHGER2210X6WOB469ITS","Yeah, no worries. Unless I eat them all on the way :p"
1,0.6,1,12,"3EA3QWIZ4JRHGER2210X6WOB469ITS","I'm okay, just don't feel like hanging out most nights because I'm tired from work."
1,0.6,1,13,"3EA3QWIZ4JRHGER2210X6WOB469ITS","Since you seem angry about it I'll just not go."
1,0.6,0,14,"3EA3QWIZ4JRHGER2210X6WOB469ITS","Okay, 2 pm it is then."
1,0.6,1,15,"3EA3QWIZ4JRHGER2210X6WOB469ITS","That sucks, it's always a hassle when you lose your wallet."
1,0.7,1,1,"33M4IA01QHX1QU35XYV39RA84YEXRS","Its ok. Just get the kids taken care of and do what you can. Love you."
1,0.7,0,2,"33M4IA01QHX1QU35XYV39RA84YEXRS","Im sorry Mom, was running late."
1,0.7,1,3,"33M4IA01QHX1QU35XYV39RA84YEXRS","Money is good, gotta keep trucking on chica"
1,0.7,1,4,"33M4IA01QHX1QU35XYV39RA84YEXRS","I didnt say a word I swear."
1,0.7,1,5,"33M4IA01QHX1QU35XYV39RA84YEXRS","Atleast you know ahead of time and you are not bllind sided. Call me if you need to talk"
1,0.7,1,6,"33M4IA01QHX1QU35XYV39RA84YEXRS","We all need a little coffee now and then"
1,0.7,1,7,"33M4IA01QHX1QU35XYV39RA84YEXRS","Im soo sorry.  Did they save why?"
1,0.7,0,8,"33M4IA01QHX1QU35XYV39RA84YEXRS","What do you think, Bus or uber?"
1,0.7,0,9,"33M4IA01QHX1QU35XYV39RA84YEXRS","Sorry, phone was on the charger, whats up"
1,0.7,1,10,"33M4IA01QHX1QU35XYV39RA84YEXRS","Oh no! Never walk near puddles! lol"
1,0.7,1,11,"33M4IA01QHX1QU35XYV39RA84YEXRS","Im going as fast as I can."
1,0.7,1,12,"33M4IA01QHX1QU35XYV39RA84YEXRS","Yea, just alot on my plate right now."
1,0.7,0,13,"33M4IA01QHX1QU35XYV39RA84YEXRS","Im not sure what to do, We all want to go but I couldnt get enough."
1,0.7,0,14,"33M4IA01QHX1QU35XYV39RA84YEXRS","Ok Ill give you a call then,"
1,0.7,1,15,"33M4IA01QHX1QU35XYV39RA84YEXRS","Man that sucks,  its gonna take a min to get replacements."
1,0.8,1,1,"3DYGAII7PM4W5KMEYSWMAOE06D3QPW","So does that mean you're in or out?"
1,0.8,1,2,"3DYGAII7PM4W5KMEYSWMAOE06D3QPW","Sorry."
1,0.8,1,3,"3DYGAII7PM4W5KMEYSWMAOE06D3QPW","Start looking for a new job. I'll help!!"
1,0.8,1,4,"3DYGAII7PM4W5KMEYSWMAOE06D3QPW","Well I'm not sure what to tell you man."
1,0.8,1,5,"3DYGAII7PM4W5KMEYSWMAOE06D3QPW","Drink tonight on me?"
1,0.8,1,6,"3DYGAII7PM4W5KMEYSWMAOE06D3QPW","You devil girl!!!!"
1,0.8,1,7,"3DYGAII7PM4W5KMEYSWMAOE06D3QPW","Sorry to hear that."
1,0.8,0,8,"3DYGAII7PM4W5KMEYSWMAOE06D3QPW","Uber or bus?"
1,0.8,0,9,"3DYGAII7PM4W5KMEYSWMAOE06D3QPW","Yes, sorry. Whats up?"
1,0.8,1,10,"3DYGAII7PM4W5KMEYSWMAOE06D3QPW","That really sucks."
1,0.8,1,11,"3DYGAII7PM4W5KMEYSWMAOE06D3QPW","If they are you have to eat them regardless. Be grateful you asshole."
1,0.8,0,12,"3DYGAII7PM4W5KMEYSWMAOE06D3QPW","Yes I'm fine. I just don't feel like doing anything."
1,0.8,0,13,"3DYGAII7PM4W5KMEYSWMAOE06D3QPW","I'm not sure what to do."
1,0.8,0,14,"3DYGAII7PM4W5KMEYSWMAOE06D3QPW","Sounds good. Talk to you soon."
1,0.8,1,15,"3DYGAII7PM4W5KMEYSWMAOE06D3QPW","I hope you find it. That sucks."
1,0.9,1,1,"3UOUJI6MTEAT6MVM1SQ8E2XSBXIXUW","Ten four."
1,0.9,1,2,"3UOUJI6MTEAT6MVM1SQ8E2XSBXIXUW","I'll remember next time."
1,0.9,1,3,"3UOUJI6MTEAT6MVM1SQ8E2XSBXIXUW","What'd he do this time?"
1,0.9,1,4,"3UOUJI6MTEAT6MVM1SQ8E2XSBXIXUW","Sorry, John. It wasn't me though."
1,0.9,1,5,"3UOUJI6MTEAT6MVM1SQ8E2XSBXIXUW","You wanna talk about it?"
1,0.9,1,6,"3UOUJI6MTEAT6MVM1SQ8E2XSBXIXUW","I'm sorry. I didn't mean to be judgmental."
1,0.9,1,7,"3UOUJI6MTEAT6MVM1SQ8E2XSBXIXUW","I'm so sorry to hear that. I didn't know."
1,0.9,1,8,"3UOUJI6MTEAT6MVM1SQ8E2XSBXIXUW","I'll be there soon."
1,0.9,0,9,"3UOUJI6MTEAT6MVM1SQ8E2XSBXIXUW","Tell me what you need."
1,0.9,1,10,"3UOUJI6MTEAT6MVM1SQ8E2XSBXIXUW","What luck!"
1,0.9,0,11,"3UOUJI6MTEAT6MVM1SQ8E2XSBXIXUW","They'll be edible. That's all I'll promise."
1,0.9,0,12,"3UOUJI6MTEAT6MVM1SQ8E2XSBXIXUW","I'll be fine."
1,0.9,0,13,"3UOUJI6MTEAT6MVM1SQ8E2XSBXIXUW","Yeah. What do you think we should do?"
1,0.9,0,14,"3UOUJI6MTEAT6MVM1SQ8E2XSBXIXUW","Alright. Talk to you then."
1,0.9,1,15,"3UOUJI6MTEAT6MVM1SQ8E2XSBXIXUW","Lemme know if I can help."
1,0.6,1,1,"3Y4W8Q93L0GFLVF5FIZ1GHWJ9MFVDH","uh oh, i can't wait to see"
1,0.6,0,2,"3Y4W8Q93L0GFLVF5FIZ1GHWJ9MFVDH","i said i was sorry, it slipped my mind"
1,0.6,1,3,"3Y4W8Q93L0GFLVF5FIZ1GHWJ9MFVDH","have you tried looking for a new job?"
1,0.6,0,4,"3Y4W8Q93L0GFLVF5FIZ1GHWJ9MFVDH","Wasn't me man, Thats not my place"
1,0.6,1,5,"3Y4W8Q93L0GFLVF5FIZ1GHWJ9MFVDH","Confront him first, he can not get away with that"
1,0.6,1,6,"3Y4W8Q93L0GFLVF5FIZ1GHWJ9MFVDH","geez, calm down"
1,0.6,1,7,"3Y4W8Q93L0GFLVF5FIZ1GHWJ9MFVDH","I am so sorry."
1,0.6,0,8,"3Y4W8Q93L0GFLVF5FIZ1GHWJ9MFVDH","guess i won't be on my way."
1,0.6,0,9,"3Y4W8Q93L0GFLVF5FIZ1GHWJ9MFVDH","What can i help you with?"
1,0.6,1,10,"3Y4W8Q93L0GFLVF5FIZ1GHWJ9MFVDH","I hate when that happens"
1,0.6,1,11,"3Y4W8Q93L0GFLVF5FIZ1GHWJ9MFVDH","Hahah wait and see what happens"
1,0.6,1,12,"3Y4W8Q93L0GFLVF5FIZ1GHWJ9MFVDH","I just haven't been feeling myself."
1,0.6,1,13,"3Y4W8Q93L0GFLVF5FIZ1GHWJ9MFVDH","yeah, guess we have to figure it out"
1,0.6,0,14,"3Y4W8Q93L0GFLVF5FIZ1GHWJ9MFVDH","I will wait for your call"
1,0.6,1,15,"3Y4W8Q93L0GFLVF5FIZ1GHWJ9MFVDH","thats great"
1,0.7,1,1,"3YMTUJH0DTCN87SNHCYTCVESZPL4TE","Okay thats okay i will see you soon !"
1,0.7,0,2,"3YMTUJH0DTCN87SNHCYTCVESZPL4TE","Im sorry i promise i will take it out more often"
1,0.7,1,3,"3YMTUJH0DTCN87SNHCYTCVESZPL4TE","I think you should really start looking for a new job"
1,0.7,1,4,"3YMTUJH0DTCN87SNHCYTCVESZPL4TE","I did not tell her im sorry she found out"
1,0.7,1,5,"3YMTUJH0DTCN87SNHCYTCVESZPL4TE","I think you should wait it out maybe he wont break up with you"
1,0.7,1,6,"3YMTUJH0DTCN87SNHCYTCVESZPL4TE","Its okay just keep trying you will give it up soon !"
1,0.7,1,7,"3YMTUJH0DTCN87SNHCYTCVESZPL4TE","Im sorry to hear that :/ i can help you look for jobs today"
1,0.7,0,8,"3YMTUJH0DTCN87SNHCYTCVESZPL4TE","Okay that really helps out .."
1,0.7,0,9,"3YMTUJH0DTCN87SNHCYTCVESZPL4TE","Hey im here to help whats up"
1,0.7,1,10,"3YMTUJH0DTCN87SNHCYTCVESZPL4TE","Oh no ! next time watch out for that lol"
1,0.7,1,11,"3YMTUJH0DTCN87SNHCYTCVESZPL4TE","They wont be cold i promise !"
1,0.7,1,12,"3YMTUJH0DTCN87SNHCYTCVESZPL4TE","Im okay im just taking a mid life break right now and evaluating things"
1,0.7,0,13,"3YMTUJH0DTCN87SNHCYTCVESZPL4TE","Sorry maybe we can keep searching for more tickets"
1,0.7,0,14,"3YMTUJH0DTCN87SNHCYTCVESZPL4TE","Okay i will call you soon!"
1,0.7,1,15,"3YMTUJH0DTCN87SNHCYTCVESZPL4TE","Its okay dont worry about it.  I hope that you find your wallet :("
1,0.8,1,1,"3X87C8JFV77TIC26Q90G5TJBTXAQSC","Uh-oh.  Would it be better if I just come straight home?"
1,0.8,1,2,"3X87C8JFV77TIC26Q90G5TJBTXAQSC","Sorry.  I was in a rush to get to work.  It happens."
1,0.8,1,3,"3X87C8JFV77TIC26Q90G5TJBTXAQSC","What did the jerk do this time?"
1,0.8,1,4,"3X87C8JFV77TIC26Q90G5TJBTXAQSC","I don't blame you.  It wasn't me though."
1,0.8,1,5,"3X87C8JFV77TIC26Q90G5TJBTXAQSC","Are you thinking of breaking up with him first?"
1,0.8,1,6,"3X87C8JFV77TIC26Q90G5TJBTXAQSC","Hey no judgment here."
1,0.8,1,7,"3X87C8JFV77TIC26Q90G5TJBTXAQSC","Oh man.  I had no idea.  I am so sorry.  I bet you'll find something else quickly."
1,0.8,0,8,"3X87C8JFV77TIC26Q90G5TJBTXAQSC","I guess I'll go with uber, so I can get there quicker.  I'm sorry.  I promise I'll make it up to you."
1,0.8,0,9,"3X87C8JFV77TIC26Q90G5TJBTXAQSC","Hey. What's up?"
1,0.8,1,10,"3X87C8JFV77TIC26Q90G5TJBTXAQSC","Oh no!  That stinks!"
1,0.8,1,11,"3X87C8JFV77TIC26Q90G5TJBTXAQSC","With that attitude you'll be lucky if I even give you any."
1,0.8,0,12,"3X87C8JFV77TIC26Q90G5TJBTXAQSC","Yeah, I think I'm just a bit worn out from work."
1,0.8,0,13,"3X87C8JFV77TIC26Q90G5TJBTXAQSC","I know.  What do you think we should do?"
1,0.8,0,14,"3X87C8JFV77TIC26Q90G5TJBTXAQSC","Ok.  I'll call you at 2."
1,0.8,1,15,"3X87C8JFV77TIC26Q90G5TJBTXAQSC","It stinks that you had to do that."
1,0.9,1,1,"38F5OAUN5O8UMLJBJGFB1OVEFW47HD","Uh oh. What's going on? If you need help, I can come home instead."
1,0.9,1,2,"38F5OAUN5O8UMLJBJGFB1OVEFW47HD","I'm sorry, it totally slipped my mind. I'll make sure to clean everything really well when I get back."
1,0.9,1,3,"38F5OAUN5O8UMLJBJGFB1OVEFW47HD","He's ridiculous! You need to starting looking for a new position!"
1,0.9,1,4,"38F5OAUN5O8UMLJBJGFB1OVEFW47HD","I didn't say anything; I'm sorry dude. Maybe she saw pics?"
1,0.9,1,5,"38F5OAUN5O8UMLJBJGFB1OVEFW47HD","That's so horrible, you must be so upset. Want to get a drink tonight and talk?"
1,0.9,1,6,"38F5OAUN5O8UMLJBJGFB1OVEFW47HD","I won't judge! Well we should get a coffee sometime then lol"
1,0.9,1,7,"38F5OAUN5O8UMLJBJGFB1OVEFW47HD","Paula, I'm so sorry, I had no idea. If you want to talk, I'd be happy to get together."
1,0.9,1,8,"38F5OAUN5O8UMLJBJGFB1OVEFW47HD","Really sorry to be running late; I'll take an Uber so I get there faster. I'll make it up to you; promise!"
1,0.9,0,9,"38F5OAUN5O8UMLJBJGFB1OVEFW47HD","Hey Jeremy--what's up? How can I help?"
1,0.9,1,10,"38F5OAUN5O8UMLJBJGFB1OVEFW47HD","That sucks! Get thee to a hand dryer and godspeed :("
1,0.9,0,11,"38F5OAUN5O8UMLJBJGFB1OVEFW47HD","I'll bring extra sauce to make it up to you--sorry again and see you soon!"
1,0.9,0,12,"38F5OAUN5O8UMLJBJGFB1OVEFW47HD","I'm fine, just not up to being around people. Sorry for cancelling again, I know it's terrible."
1,0.9,0,13,"38F5OAUN5O8UMLJBJGFB1OVEFW47HD","I know, I'm sorry. It was all they had left unfortunately."
1,0.9,0,14,"38F5OAUN5O8UMLJBJGFB1OVEFW47HD","Perfect! I'll ring you then."
1,0.9,1,15,"38F5OAUN5O8UMLJBJGFB1OVEFW47HD","Sorry this is happening to you! Let me know if there is anything else I can do to help."
1,0.6,1,1,"3U8YCDAGXQCTH3IUH7HWVNDSY5S0Q0","Oh, then meet on park"
1,0.6,0,2,"3U8YCDAGXQCTH3IUH7HWVNDSY5S0Q0","come on mom, How I control ants when I am here."
1,0.6,1,3,"3U8YCDAGXQCTH3IUH7HWVNDSY5S0Q0","Is your boss torturing you?"
1,0.6,0,4,"3U8YCDAGXQCTH3IUH7HWVNDSY5S0Q0","Oh, I am sorry dude, but this makes me laugh"
1,0.6,1,5,"3U8YCDAGXQCTH3IUH7HWVNDSY5S0Q0","Don't think about Dave anymore."
1,0.6,1,6,"3U8YCDAGXQCTH3IUH7HWVNDSY5S0Q0","It is okay"
1,0.6,1,7,"3U8YCDAGXQCTH3IUH7HWVNDSY5S0Q0","What? why I lucky?"
1,0.6,0,8,"3U8YCDAGXQCTH3IUH7HWVNDSY5S0Q0","K. bye"
1,0.6,0,9,"3U8YCDAGXQCTH3IUH7HWVNDSY5S0Q0","What do you need from me jeremy?"
1,0.6,1,10,"3U8YCDAGXQCTH3IUH7HWVNDSY5S0Q0","Oh, Then what did you do?"
